svalmel	normal	1700x1580	1011623	1011623	0xd49acaed426ed3b3	OK
svalmel	4x	850x790	248032	248032	0xe884c2e36d2dfcc5	OK
svalmel	16x	425x395	59683	59683	0x64eb4db6d3f212f4	OK
taiwanstrait	normal	1600x1600	907469	907469	0xdfd9a80843699974	OK
taiwanstrait	4x	800x800	224367	224367	0xda0c5f11a4b686c2	OK
taiwanstrait	16x	400x400	55147	55147	0x84959082bfba1b60	OK
thebox	normal	2048x2048	4194304	4194304	0xf1d8cf5294222325	OK
thebox	4x	1024x1024	1048576	1048576	0x24baa98008222325	OK
thebox	16x	512x512	262144	262144	0x1719880b65222325	OK
tierradelfuego	normal	2504x1664	2193158	822917	0x9e5aaf6138102df7	OK
tierradelfuego	4x	1252x832	539051	197190	0x3796b707c687dac6	OK
tierradelfuego	16x	626x416	130957	45863	0x166aa1a144a5d974	OK
titan	normal	1232x2160	1627144	1627144	0x1e4d1996fe7f9b45	OK
titan	4x	616x1080	398688	398688	0x79c34c4b6f70249b	OK
titan	16x	308x540	96655	96655	0x8e87d8480269bc79	OK
tourney1	normal	1500x1500	984577	984577	0x9666d90761219636	OK
tourney1	4x	750x750	244567	244567	0x60cfeeaf9181f4eb	OK
tourney1	16x	375x375	60237	60237	0xa08943298553ba6b	OK
tourney2	normal	1500x1500	1024327	1024327	0x82e7e0e3439d5fdc	OK
tourney2	4x	750x750	254300	254300	0xd8b47009901cb9fc	OK
tourney2	16x	375x375	62691	62691	0x56d4ee7b8436a974	OK
tourney3	normal	1500x1500	1008007	1008007	0x5d870e98cb065149	OK
tourney3	4x	750x750	250191	250191	0x754d28c78e65d661	OK
tourney3	16x	375x375	61644	61644	0xacf9094fd66f87ef	OK
tourney4	normal	1500x1500	905705	905705	0xcc32b0818acde88a	OK
tourney4	4x	750x750	224342	224342	0x656615465cba0ccd	OK
tourney4	16x	375x375	54860	54860	0x5025383bddb07d56	OK
tradersdream	normal	2200x1920	972041	972041	0x768f4da073c5cd90	OK
