# ofcuda_matrix cell onion n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/onion_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/onion_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/onion (512x512, land 210555 from BYTES)
# engine land from manifest 210555
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x0544019e73d55172 engine_boundary0_hash 0x0544019e73d55172 match yes
per-player owned sets match: yes
engine boundary0 owned_total 15655, port plane owned 15655
BOT 283 sid=285 id=mkfgkn7r spawn_tile=183850 n_owned=52
BOT 284 sid=286 id=v5nlafkw spawn_tile=87972 n_owned=52
BOT 285 sid=287 id=2p3gb961 spawn_tile=-1 n_owned=0
BOT 286 sid=288 id=uc4jshlt spawn_tile=226679 n_owned=52
BOT 287 sid=289 id=6xdips73 spawn_tile=174754 n_owned=52
BOT 288 sid=290 id=fqxqj0bu spawn_tile=47208 n_owned=52
BOT 289 sid=291 id=yen0iwte spawn_tile=683 n_owned=34
BOT 290 sid=292 id=77ucsgzt spawn_tile=-1 n_owned=0
BOT 291 sid=293 id=4c1d18ro spawn_tile=-1 n_owned=0
BOT 292 sid=294 id=bz5je7hx spawn_tile=165208 n_owned=52
BOT 293 sid=295 id=fn7ax8sx spawn_tile=114223 n_owned=52
BOT 294 sid=296 id=owdtos2u spawn_tile=165938 n_owned=52
BOT 295 sid=297 id=f33f3rln spawn_tile=101334 n_owned=52
BOT 296 sid=298 id=shy7v4eo spawn_tile=109375 n_owned=52
BOT 297 sid=299 id=qi05x4jp spawn_tile=32792 n_owned=52
BOT 298 sid=300 id=rtwhvg9g spawn_tile=-1 n_owned=0
BOT 299 sid=301 id=xebmdu02 spawn_tile=65953 n_owned=52
BOT 300 sid=302 id=minv0qzi spawn_tile=-1 n_owned=0
BOT 301 sid=303 id=s3tsi6x9 spawn_tile=-1 n_owned=0
BOT 302 sid=304 id=k4ol3ovv spawn_tile=-1 n_owned=0
BOT 303 sid=305 id=my4alddo spawn_tile=-1 n_owned=0
BOT 304 sid=306 id=j2kjyzt1 spawn_tile=227562 n_owned=52
BOT 305 sid=307 id=x5ff4utp spawn_tile=283 n_owned=26
BOT 306 sid=308 id=lokk2xdf spawn_tile=-1 n_owned=0
BOT 307 sid=309 id=sylg30cf spawn_tile=168851 n_owned=52
BOT 308 sid=310 id=sahbcu7b spawn_tile=124378 n_owned=52
BOT 309 sid=311 id=zuvsbbzm spawn_tile=-1 n_owned=0
BOT 310 sid=312 id=n4n57mjy spawn_tile=-1 n_owned=0
BOT 311 sid=313 id=8s3w15kq spawn_tile=-1 n_owned=0
BOT 312 sid=314 id=a6z0gp5d spawn_tile=-1 n_owned=0
BOT 313 sid=315 id=momzwuew spawn_tile=-1 n_owned=0
